second,median,mad
275,85.82127,13.878967
276,85.804291,13.932829
277,85.860072,13.995282
278,85.927403,13.893976
279,85.879859,14.084089
280,85.946167,14.187236
281,85.984745,14.147531
282,86.035405,14.096246
283,85.93185,14.067606
284,85.791687,14.073236
285,85.764554,14.078886
286,85.763518,14.208688
287,85.804843,14.273271
288,85.802728,14.212107
289,85.872563,14.24116
290,86.042962,14.233994
291,86.063716,14.220161
292,86.073067,14.257444
293,86.070126,14.322269
294,86.051171,14.361772
295,86.084163,14.444701
296,86.071344,14.41871
297,86.074649,14.413754
298,86.143888,14.305586
299,86.125162,14.390277
300,86.108371,14.425506
301,86.04676,14.509169
302,85.936711,14.529576
303,85.89987,14.488651
304,85.874273,14.362536
305,86.015563,14.317239
306,85.921671,14.29644
307,85.960474,14.336698
308,85.922517,14.308994
309,85.837776,14.324752
310,85.798465,14.351622
311,85.868002,14.377652
312,85.794454,14.40436
313,85.790892,14.498405
314,85.764232,14.497374
315,85.826319,14.549419
316,85.866252,14.606019
317,85.819329,14.741444
318,85.856544,14.850822
319,85.929182,14.94698
320,85.946815,14.905656
321,85.908675,14.982418
322,85.891069,14.994849
323,85.891219,14.968357
324,85.900241,15.034281
325,85.73754,15.108167
326,85.716951,15.092895
327,85.830087,15.171807
328,85.778599,15.217008
329,85.87686,15.213147
330,85.929665,15.36356
331,85.929042,15.355737
332,85.98044,15.394853
333,85.977844,15.37619
334,86.052261,15.351261
335,86.068788,15.388326
336,86.137452,15.362701
337,86.116078,15.452369
338,86.10956,15.338216
339,86.001201,15.421674
340,86.009974,15.386785
341,85.952838,15.365454
342,86.00725,15.387224
343,85.939565,15.400739
344,85.912296,15.406546
345,85.918456,15.437665
346,85.888468,15.461869
347,85.896032,15.545384
348,85.91289,15.56825
349,85.891279,15.560745
350,85.94501,15.549785
351,85.864412,15.649214
352,85.848795,15.694287
353,85.920608,15.752673
354,85.910361,15.748007
355,85.790272,15.817982
356,85.730702,15.77934
357,85.672536,15.81388
