second,median,mad
328,21.0,14.0
329,21.0,14.0
330,22.0,15.0
331,22.0,15.0
332,21.0,14.0
333,21.0,14.0
334,21.0,14.0
335,21.0,14.0
336,21.0,14.0
337,21.0,14.0
338,21.0,15.0
339,21.0,14.0
340,21.0,14.0
341,21.0,14.0
342,21.0,14.0
343,21.0,14.0
344,21.0,15.0
345,21.0,14.0
346,21.0,14.0
347,21.0,14.0
348,21.0,14.0
349,20.0,14.0
350,20.0,14.0
351,20.0,14.0
352,20.0,14.0
353,20.0,14.0
354,20.0,14.0
355,20.0,14.0
356,20.0,14.0
357,20.0,14.0
358,20.0,14.0
359,20.0,14.0
360,20.0,14.0
361,20.0,14.0
362,20.0,14.0
363,20.0,14.0
364,20.0,14.0
365,20.0,14.0
366,20.0,14.0
367,20.0,14.0
368,20.0,14.0
369,20.0,14.0
370,20.0,14.0
371,20.0,14.0
372,20.0,14.0
373,20.0,14.0
374,19.0,13.0
375,20.0,14.0
376,19.0,13.0
377,19.0,13.0
378,19.0,13.0
379,19.0,13.0
380,19.0,13.0
381,19.0,13.0
382,19.0,13.0
383,19.0,13.0
384,19.0,13.0
385,19.0,14.0
386,19.0,13.0
387,19.0,13.0
388,19.0,13.0
389,19.0,13.0
390,19.0,13.0
391,19.0,13.0
392,20.0,14.0
393,19.0,13.0
394,19.0,13.0
395,19.0,14.0
396,19.0,14.0
397,19.0,14.0
398,19.0,14.0
399,20.0,14.0
400,19.0,13.0
401,20.0,14.0
402,19.0,13.0
403,19.0,14.0
404,19.0,13.0
405,19.0,13.0
406,19.0,14.0
407,19.0,14.0
408,19.0,13.0
409,20.0,14.0
410,20.0,14.0
411,19.0,13.0
412,19.0,13.0
413,19.0,13.0
414,19.0,13.0
415,19.0,13.0
416,19.0,14.0
417,18.0,13.0
418,18.0,13.0
419,18.0,13.0
420,18.0,13.0
421,18.0,13.0
422,19.0,14.0
423,19.0,13.0
424,18.0,13.0
425,18.0,13.0
426,19.0,14.0
427,18.0,13.0
428,19.0,13.0
429,18.0,13.0
430,18.0,13.0
431,18.0,13.0
432,18.0,13.0
433,18.0,13.0
434,19.0,14.0
